Cluster,fake_identificacion,Periodo,Region,Zona,Centro,Periodo Admision,Ciclo Academico,Tipo de Programa,Estatus del Curso,Porcentaje de beca,Porcentaje desencuento matricula,Monto descuento automatico,Edad,Sexo,Discapacidad,Porcentaje de discapacidades,Número discapacidades,Metodología de la invest y tec(Bim1),Computación y sociedad(Bim1),Fundamentos de tecnologias(Bim1),Algoritmos y resolución de pro(Bim1),Humanismo universidad y cultu(Bim1),Fundamentos matematicos(Bim1),Metodología de la invest y tec(Bim2),Computación y sociedad(Bim2),Fundamentos de tecnologias(Bim2),Algoritmos y resolución de pro(Bim2),Humanismo universidad y cultu(Bim2),Fundamentos matematicos(Bim2),Metodología de la invest y tec(aaBim1),Computación y sociedad(aaBim1),Fundamentos de tecnologias(aaBim1),Algoritmos y resolución de pro(aaBim1),Humanismo universidad y cultu(aaBim1),Fundamentos matematicos(aaBim1),Metodología de la invest y tec(aaBim2),Computación y sociedad(aaBim2),Fundamentos de tecnologias(aaBim2),Algoritmos y resolución de pro(aaBim2),Humanismo universidad y cultu(aaBim2),Fundamentos matematicos(aaBim2),Metodología de la invest y tec(acdBim1),Computación y sociedad(acdBim1),Fundamentos de tecnologias(acdBim1),Algoritmos y resolucion de pro(acdBim1),Humanismo universidad y cultu(acdBim1),Fundamentos matematicos(acdBim1),Computación y sociedad(acdBim2),Fundamentos de tecnologias(acdBim2),Algoritmos y resolucion de pro(acdBim2),Humanismo universidad y cultu(acdBim2),Fundamentos matematicos(acdBim2),Metodología de la invest y tec(apeBim1),Computación y sociedad(apeBim1),Fundamentos de tecnologias(apeBim2),Algoritmos y resolucion de pro(acdBim2),Humanismo universidad y cultu(apeBim1),Fundamentos matematicos(apeBim1),Computación y sociedad(apeBim2),Algoritmos y resolución de pro(apeBim2),Componente_1,Componente_2,porcentaje_de_beca
Incierto,KQTK72068096671991,202264,QUITO,SIERRA-CEN,RIOBAMBA,202062,2,CONTINUO,CURSOS INSCRITOS,10,100,60.58,21,HOMBRE,NO,0,0,1.13,7.97,-1,-1,4.5,8.55,1.69,9.31,-1,-1,3,6.78,1.13,3.04,2.63,2.65,1.5,2.59,1.69,3.25,1,1,2,2.13,-1,2,-1,-1,0,3,3.4,-1,-1,0,1.73,-1,2.93,2,3.38,3,2.96,2.66,-1,0.8434718,0.9696378724827517,202062
Incierto,XNNT38702723047544,202264,CUENCA,SIERRA-SUR,MACHALA,202062,3,CONTINUO,CURSOS INSCRITOS,0,100,137.46,30,MUJER,NO,0,0,7.06,9.32,7.42,7.87,-1,-1,5.23,7.94,7.19,4.67,-1,-1,2.61,3.19,2.77,2.27,-1,2.12,1.88,2.94,2.5,2.67,-1,0.75,2.8,3.2,1.66,3,-1,-1,3.5,3.19,1,-1,-1,1.65,2.93,2.99,2.6,-1,3.35,1.5,1,0.3515904933425685,0.2545389495022235,202062
Incierto,EUWV78354543558233,202164,QUITO,METROPOLIT,QUITO-CALDERON,202062,2,CONTINUO,CURSOS INSCRITOS,10,100,28.34,20,HOMBRE,NO,0,0,-1,8.64,8.39,-1,-1,6.73,-1,6.8,6.95,-1,-1,5.42,1.88,2.69,2.43,3,2.76,1.82,0.95,2.63,2.4,1,1,2.61,-1,3.1,3.01,-1,-1,1.91,1.28,3.05,-1,-1,0.33,3.1,2.85,2.95,0,0,3,2.89,-1,0.8159075518193193,0.5710668362212556,202062
Incierto,CFMA16864224155040,202264,QUITO,SIERRA-CEN,AMBATO,202062,2,CONTINUO,CURSOS CADUCADOS,10,0,60.55,26,HOMBRE,NO,0,0,5.83,8.16,-1,-1,9.18,-1,6.68,5.89,-1,-1,7.5,-1,2.29,3.13,-1,-1,3.08,-1,0.7,1,-1,-1,1,-1,2.38,2.48,-1,-1,3.2,-1,3.15,-1,-1,3.5,-1,1.16,2.55,-1,-1,2.9,-1,1.74,-1,1.4001372826159597,0.369974701,202062
Regular,MRQH01756059163813,202264,GUAYAQUIL,GRAN-GYE,DURAN,202062,2,CONTINUO,CURSOS CADUCADOS,10,20,115.99,23,MUJER,NO,0,0,-1,-1,5.52,-1,7.49,7.51,-1,-1,8.78,-1,7.01,7.33,1.7,2.13,1.8,1.91,2.29,1.31,0.9,1,2.67,0.95,2.31,2.01,-1,-1,1.22,-1,2.9,3.5,-1,3.26,-1,2.7,2.72,3.3,3.5,2.5,3.13,2.3,2.7,-1,-1,0.7770001039993675,0.7852484565528709,202062
Critico,IEQB72666300952635,202262,GUAYAQUIL,GRAN-GYE,GUAYAQUIL,202062,1,NUEVO,CURSOS INSCRITOS,70,0,0,39,HOMBRE,NO,0,0,2.06,-1,1.6,1.96,-1,6.74,0,-1,0,0,-1,0,1,-1,1.6,0.96,-1,2.39,-1,-1,-1,0,-1,-1,0.53,-1,0,0,-1,1.39,-1,0,0,-1,0,0.53,-1,-1,1,-1,2.96,-1,0,2.6358122346914574,-0.9910294,202062
Critico,GGHA71953990444871,202262,GUAYAQUIL,GRAN-GYE,SAMBORONDON,202062,1,NUEVO,CURSOS INSCRITOS,0,5,213.02,39,HOMBRE,NO,0,0,0,0.4,0,0,0.3,0.64,0,0,0,0,0,0,0,0.4,-1,0,0.3,-1,-1,-1,-1,0,-1,-1,0,0,0,0,0,0.64,0,0,0,0,0,0,-1,-1,0,0,-1,-1,0,2.776731844743831,-1.188934444,202062
Regular,CRZR37618015856360,202264,GUAYAQUIL,GRAN-GYE,DURAN,202062,1,NUEVO,CURSOS INSCRITOS,10,5,189.4,39,HOMBRE,NO,0,0,5.68,3.78,5.85,2.69,5.25,5.34,0,0,0,0,0,0,0.7,0.85,0.87,0.79,0.75,0.84,-1,-1,-1,0,-1,-1,2.95,0.9,2,0,3.5,1.84,0,0,0,0,0,2.03,2.03,2.98,1.9,1,2.66,-1,0,1.636042804982271,-0.599161038,202062
Bueno,WJSR66728800105933,202264,QUITO,SIERRA-NOR,IBARRA,202062,4,CONTINUO,CURSOS INSCRITOS,10,20,74.29,33,HOMBRE,NO,0,0,8.03,6.97,5.87,8.41,6.51,8.21,6.11,8.88,8.76,6.95,9,8.36,2.13,2.75,2.27,2.81,2.91,2.81,-1,3.13,2.5,2.95,2.7,3.16,3.35,2.49,1.6,3,1.4,2.44,3.05,3.41,1,3.5,2.35,2.55,1.73,2,2.6,2.2,2.96,2.7,3,-1.353180745,0.16771092790096748,202062
Critico,RFUN07129426896735,202264,LOJA,SUR,LOJA,202062,1,CONTINUO,CURSOS CADUCADOS,60,5,0,23,HOMBRE,NO,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,0,-1,-1,0,0,0,-1,-1,0,-1,-1,0,-1,-1,-1,0,3.0509132080055315,-0.899055103,202062
Critico,WHWG91626093435208,202264,QUITO,METROPOLIT,QUITO-VILLAFLORA,202062,1,NUEVO,CURSOS INSCRITOS,10,5,194.05,39,HOMBRE,NO,0,0,0,2,0.23,0,0,1.29,0,0,0,0,0,0,0,0.5,0.23,0,-1,0,-1,-1,-1,0,-1,-1,0,0,0,0,0,1.14,0,0,0,0,0,0,1.5,-1,0,0,0.15,-1,0,2.650214294979509,-1.049634014,202062
Critico,YEKL31159227933343,202264,QUITO,SIERRA-CEN,PUYO,202062,1,CONTINUO,CURSOS CADUCADOS,10,5,167.82,22,HOMBRE,NO,0,0,1.76,3.66,0,0,-1,0.65,0,0,0,0,-1,0,0.1,0.5,-1,0,-1,0,-1,-1,-1,0,-1,-1,0.53,1.28,0,0,-1,0.65,0,0,0,-1,0,1.13,1.88,-1,0,-1,-1,-1,0,2.6336461810085043,-0.719684812,202062
Critico,IOAK14605909461190,202264,QUITO,METROPOLIT,QUITO,202062,1,NUEVO,CURSOS INSCRITOS,10,5,191.73,39,HOMBRE,NO,0,0,0,2,1.33,0,0,0,0,0,0,0,0,0,0,0.5,0.33,0,-1,0,-1,-1,-1,0,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,1.5,-1,0,0,-1,-1,0,2.6793489128855934,-1.096319602,202062
Regular,TPND37410419267562,202264,GUAYAQUIL,GRAN-GYE,GUAYAQUIL,202062,1,NUEVO,CURSOS INSCRITOS,60,0,0,39,HOMBRE,NO,0,0,6.75,7.03,8.93,3.08,8.48,8.98,0.9,1.93,0.67,0.6,0.5,2.06,1.97,1.13,2.62,2.08,2.15,3.14,-1,0.5,0.67,0.6,0.5,0.25,2.9,3.05,3.33,0,3.33,2.84,0,0,0,0,0.5,1.88,2.85,2.98,1,3,3,1.43,0,0.6157447199155023,-0.196744216,202062
Critico,NQFH03594556860933,202262,QUITO,METROPOLIT,QUITO-VILLAFLORA,202062,1,NUEVO,CURSOS INSCRITOS,0,0,0,39,HOMBRE,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,0,2.8604666634230855,-1.28468575,202062
Bueno,SKQQ25785613363884,202262,QUITO,SIERRA-NOR,IBARRA,202062,3,CONTINUO,CURSOS INSCRITOS,10,20,185.5,31,HOMBRE,NO,0,0,7.84,8.58,8.31,5.83,9.5,8.35,6.79,8.93,9.26,8.5,8.14,8.83,2.06,3.25,2.7,2.83,3,2.87,2.16,2.94,3,2.5,2.44,2.83,3.15,2.55,2.63,2,3.5,3.11,3.21,3.26,3,3.3,3,2.63,2.78,2.98,1,3,2.37,2.78,3,-1.759098883,0.20699783917288425,202062
Incierto,QSIG77489266714738,202264,QUITO,METROPOLIT,QUITO-SAN RAFAEL,202062,2,CONTINUO,CURSOS INSCRITOS,0,30,161.92,32,HOMBRE,NO,0,0,5.43,9.04,8.53,8.36,-1,7.85,1.14,5.19,7.15,7.97,-1,6.07,2.28,3.16,2.53,2.96,2.73,2.99,1.14,3.13,3.1,2.77,-1,2.7,2.1,2.88,3.3,2.5,-1,2.06,1.35,1.5,2.5,-1,0.7,1.05,3,2.7,2.9,0,2.8,0.71,2.7,-0.125104549,0.029114371556186472,202062
Bueno,RYLD97920285938232,202262,GUAYAQUIL,COSTA-INS,SALINAS,202062,3,CONTINUO,CURSOS CADUCADOS,10,20,111.53,29,HOMBRE,NO,0,0,8.79,9.48,8.79,8.85,8.96,8.2,8.44,8.78,7.79,8.02,7.48,7.34,2.78,3.13,2.33,2.55,2.96,3.3,2.09,3.31,3.07,2.92,2.78,2.6,3.35,3.5,3.47,3.5,3,2.09,3.21,3.22,2.5,1.7,2.49,2.66,2.85,2.99,2.8,3,2.81,2.26,2.6,-1.774650872,0.31194206508186434,202062
Bueno,FDGE57104836758661,202264,CUENCA,SIERRA-SUR,MACAS,202062,4,CONTINUO,CURSOS INSCRITOS,10,100,87.9,29,HOMBRE,NO,0,0,6.15,8.82,8.2,9.08,7.51,7.91,9,8.61,8.92,7.55,8.91,7.35,1.63,2.69,2.46,2.68,2.41,1.86,2.5,3.06,2.77,2.05,2.61,1.86,3.13,3.28,2.77,3.5,2.9,3.05,3.21,3.15,2.5,3.5,2.49,1.39,2.85,2.97,2.9,2.2,3,2.34,3,-1.667755516,0.059486427,202062
Bueno,QMLJ53178012883084,202264,QUITO,METROPOLIT,QUITO-TURUBAMBA,202062,2,CONTINUO,CURSOS INSCRITOS,30,20,78.53,25,HOMBRE,NO,0,0,7.68,9.37,9.52,9.65,9.69,9.23,9.02,6.82,7.22,7.5,9.46,8.49,2.58,3.09,3.13,3.15,3.19,3.2,2.59,0.9,0.97,1,3.31,2.81,2.77,3.35,3.41,3.5,3.5,3.07,2.99,3.4,3.5,3.35,2.68,2.33,2.93,2.98,3,3,2.96,2.93,3,-1.865059623,0.12191683885649346,202062
Bueno,MGUO68116300123148,202264,QUITO,SIERRA-CEN,AMBATO,202062,4,CONTINUO,CURSOS INSCRITOS,0,100,83.98,36,HOMBRE,NO,0,0,7.2,7.44,8.69,9.37,8.31,7.57,8.64,8.33,8.47,6.4,8.68,8.54,2.39,3.09,2.86,2.87,3.01,2.07,2.14,3.26,2.57,2.75,2.73,2.49,2.9,1.35,2.85,3.5,2.7,2.68,2.91,3.2,2.25,3.35,3.05,1.91,3,2.98,3,2.6,2.82,2.16,1.4,-1.569531052,0.31740977290974753,202062
Bueno,GNKQ89093472807442,202262,SANTO DOMINGO,COSTA-NOR,SANTO DOMINGO,202062,2,CONTINUO,CURSOS CADUCADOS,0,30,210.44,25,HOMBRE,NO,0,0,7.36,9.23,8.02,8.85,9.31,8.17,7.5,7.15,7.4,7.23,6.7,6.84,2.47,3.33,2.36,2.35,3.01,2.38,1,1,1,0.98,1,0.86,2.75,2.9,2.71,3.5,3.5,2.82,3.3,3.4,3.25,3.3,3.14,2.14,3,2.95,3,2.8,2.97,2.85,3,-1.454354722,-0.077927783,202062
Bueno,XTLA48155273548078,202264,QUITO,METROPOLIT,QUITO-TURUBAMBA,202062,3,CONTINUO,CURSOS INSCRITOS,10,20,94.25,31,HOMBRE,NO,0,0,5.98,7.84,7.38,8.6,9,8.36,8.59,8.86,7.39,6.68,9.06,8.7,2.22,3.04,2.1,2.42,2.5,2.2,2.16,2.81,2.6,2.08,2.56,2.83,2.45,2.4,2.3,3.38,3.5,3.16,3.2,3.29,3.5,3.5,2.87,1.31,2.4,2.98,2.8,3,3,2.85,1.1,-1.62053447,0.13496293629227293,202062
Bueno,WCBP59124091775154,202264,LOJA,SUR,ZAMORA,202062,4,CONTINUO,CURSOS INSCRITOS,10,20,103.43,33,HOMBRE,NO,0,0,6.81,9.45,8.46,9.1,8.18,9,9.27,9.6,8.86,9.23,8.41,8.72,2.49,3.2,2.26,3,2.48,3.16,2.81,3.44,2.57,3.33,2.76,3.2,2.63,3.25,3.3,3.5,2.9,3.2,3.35,3.44,3.3,2.65,2.98,1.69,3,2.9,2.6,2.8,2.64,2.81,2.6,-1.987515702,0.16641229121413548,202062
Bueno,QWAU92869057135742,202264,QUITO,METROPOLIT,QUITO-CARCELEN,202062,1,NUEVO,CURSOS INSCRITOS,0,0,0,39,HOMBRE,NO,0,0,7.83,9.2,7.36,9.17,9.31,9.03,8.52,9.29,8.54,7.65,9.36,8.77,2.91,3.25,2.93,3.07,2.88,2.88,2.69,3.31,2.9,2.9,3.06,2.68,2.48,2.95,1.45,3.5,3.43,3.15,3.2,2.98,1.75,3.3,3.09,2.44,3,2.98,2.6,3,3,2.78,3,-1.803604342,-0.011686138,202062
Bueno,EOKF96285344992149,202264,QUITO,SIERRA-NOR,IBARRA,202062,3,CONTINUO,CURSOS CADUCADOS,15,30,178.16,27,HOMBRE,NO,0,0,7.41,9.03,9.22,9.53,8.77,8.96,8.69,8.72,9.17,9,9.44,8.16,2.26,2.9,2.97,3.03,2.94,2.92,2.19,2.81,2.8,2.5,2.94,2.26,2.9,3.35,3.27,3.5,2.83,3.08,3.21,3.37,3.5,3.5,2.9,2.25,2.78,2.98,3,3,2.96,2.7,3,-2.00098009,0.16097234962376397,202062
Regular,FTYS30047521626475,202264,CUENCA,SIERRA-SUR,CUENCA,202062,1,NUEVO,CURSOS INSCRITOS,60,5,0,39,HOMBRE,NO,0,0,6.16,7.26,8.86,7.68,5.75,6.19,0,1.47,0.13,0,0.45,1.37,2.61,2.94,3.07,2.28,0.95,0.78,-1,0.5,0.13,0,0.45,0.44,2.35,1.32,2.81,2.5,1.8,2.71,0,0,0,0,0.33,1.2,3,2.98,2.9,3,2.7,0.97,0,0.8169521984231624,-0.232347006,202062
Bueno,BAFM40844440488816,202262,CUENCA,SIERRA-SUR,MACHALA,202062,1,NUEVO,CURSOS INSCRITOS,10,5,87.5,39,HOMBRE,NO,0,0,6.92,8.73,6.9,9.4,8.75,9.14,6.09,7.59,4.97,4.33,4.5,5.63,2.17,3.08,2.3,2.9,2.25,2.91,1.84,2.59,1.77,2.33,2,2.13,3.25,2.95,2,3.5,3.5,3.23,3.5,2,1,1.5,1.33,1.5,2.7,2.6,3,3,3,1.5,1,-0.945244105,-0.134659188,202062
Incierto,GEQM18049336755708,202264,QUITO,METROPOLIT,QUITO,202062,1,NUEVO,CURSOS INSCRITOS,10,0,144.71,39,HOMBRE,NO,0,0,6.41,-1,9.12,6.92,-1,8.2,7.33,-1,7.35,3.75,-1,5.86,2.16,-1,2.83,2.67,-1,2.34,2.47,-1,2.6,2.75,-1,1.73,2.6,-1,3.34,1.25,-1,3.04,-1,1.9,0,-1,1.13,1.65,-1,2.95,3,-1,2.82,-1,1,1.0168274543532902,-0.876482586,202062
Regular,DHAQ43046346299317,202264,QUITO,METROPOLIT,QUITO-CARCELEN,202062,1,NUEVO,CURSOS INSCRITOS,0,5,213.02,39,HOMBRE,NO,0,0,1.31,3.33,2.43,3.12,3.39,1.78,7.4,7.04,7.91,4.75,8.96,5.17,1.31,2.15,2.03,2.42,2.39,0.97,1.31,2.56,2.33,1.95,3.06,1.17,0,0.8,0,0,0,0,3.2,2.88,2,3.1,1.3,0,0.38,0.4,0.7,1,0.81,1.28,0.8,0.3894575602191899,-0.264407943,202062
Regular,OKBT91539916541632,202162,QUITO,METROPOLIT,QUITO-CALDERON,202062,1,NUEVO,CURSOS INSCRITOS,0,0,0,39,HOMBRE,NO,0,0,2.42,7.54,5.33,7.73,8.26,3.79,8.31,5.74,6.78,5.42,6.65,6.17,1.67,2.94,2.63,2.73,2.96,1.54,1.88,3,2.07,1.92,2.55,2.09,0,1.6,0,2,3.1,0.75,1.28,1.78,2.5,3.1,1.58,0.75,3,2.7,3,2.2,1.5,1.46,1,-0.30409659,0.086274015,202062
Bueno,ZXDM68065078665430,202162,QUITO,SIERRA-CEN,AMBATO,202062,4,CONTINUO,CURSOS INSCRITOS,10,20,102.58,22,HOMBRE,NO,0,0,-1,8.92,7.2,9.55,9.54,8.87,-1,7.76,7.25,7.43,5.58,8.77,2.01,3.08,2.5,3.15,3.04,3.09,0.95,3.2,2.8,2.93,3.08,2.56,-1,2.91,2.7,3.5,3.5,2.82,2,3.1,3.5,1.5,3.21,1.6,2.93,2,2.9,3,2.96,2.56,1,-1.142467256,0.25858229551779505,202062
Regular,KSMD71970746688139,202264,LOJA,SUR,ZAMORA,202062,1,NUEVO,CURSOS INSCRITOS,10,5,191.73,39,HOMBRE,NO,0,0,3.5,4.73,4.3,7.34,6.55,6.97,3.83,6.18,6.38,4.75,3.99,6.32,1.78,2.4,1.7,2.24,1.65,2.4,2.23,2.88,1.73,2.45,1.94,1.92,1.23,1.2,1,2.5,1.9,2.14,1.05,3.15,1.5,1.8,1.55,0.49,1.13,1.6,2.6,3,2.43,2.25,0.8,-0.148014794,-0.218021963,202062
Bueno,SJBH81355666975587,202064,QUITO,SIERRA-NOR,SHUSHUFINDI,202062,1,NUEVO,CURSOS INSCRITOS,0,5,157.29,39,HOMBRE,NO,0,0,4.71,7.04,6.26,9.61,7.4,6.74,0.95,7.64,6.9,7.18,6.11,7.89,0.85,2.88,2.66,3.11,0.9,0.86,0.95,3.31,2.6,2.68,1.76,2.24,1.5,1.38,2,3.5,3.5,3.16,2.83,2.95,3.5,3.35,2.65,2.36,2.78,1.6,3,3,2.72,1.5,1,-0.950839205,-0.435915494,202062
Critico,DDPJ70617247780129,202164,QUITO,SIERRA-CEN,AMBATO,202062,1,NUEVO,CURSOS INSCRITOS,10,5,189.4,39,HOMBRE,NO,0,0,0.35,3.16,0.3,0,2.36,1.74,0,0,-1,0,0,0,0.35,0.5,0.3,0,0.4,0.13,-1,-1,-1,0,-1,-1,0,1.31,0,0,1.96,1.01,0,-1,0,0,0,0,1.35,-1,0,0,0.6,-1,0,2.4779550387160723,-0.944418501,202062
Critico,DDHW69873630029672,202264,QUITO,METROPOLIT,QUITO,202062,1,NUEVO,CURSOS INSCRITOS,0,0,117.79,39,HOMBRE,NO,0,0,4.2,-1,4,2.69,-1,7.16,0,-1,0.3,0,-1,2.45,1.68,-1,2.2,1.99,-1,1.68,-1,-1,0.3,0,-1,0.59,0.83,-1,1.8,0,-1,2.7,-1,-1,0,-1,0.36,1.69,-1,-1,0.7,-1,2.78,-1,0,2.271654398921436,-1.008721589,202062
Bueno,KJCC41581159190594,202264,QUITO,METROPOLIT,QUITO-VILLAFLORA,202062,2,CONTINUO,CURSOS INSCRITOS,0,20,24.77,19,HOMBRE,NO,0,0,0.4,7.45,6.29,8.57,9.34,7.32,1.59,9.39,5.19,6.87,5.7,8.94,0.4,3.1,2.69,3.07,2.84,2.81,1.59,3.33,2.69,2.67,3.2,2.94,0,1.35,1,2.5,3.5,1.75,3.35,2.5,3.5,1.5,3.33,0,-1,-1,3,3,2.76,-1,0.7,-0.636414273,-0.038071141,202062
