ciclo_academico,tipo_de_est_programa,estatus_cursos,porcentaje_de_beca,porcentaje_des_matricula,monto_descuento_automatico,edad,sexo,discapacidad,porcentaje_de_discapacidades,numero_discapacidades,bim1_nota_metodologia_de_la_invest_y_tec,bim1_nota_computacion_y_sociedad,bim1_nota_fundamentos_de_tecnologias,bim1_nota_algoritmos_y_resolucion_de_pro,"bim1_nota_humanismo,_universidad_y_cultu",bim1_nota_fundamentos_matematicos,bim2_nota_metodologia_de_la_invest_y_tec,bim2_nota_computacion_y_sociedad,bim2_nota_fundamentos_de_tecnologias,bim2_nota_algoritmos_y_resolucion_de_pro,"bim2_nota_humanismo,_universidad_y_cultu",bim2_nota_fundamentos_matematicos,aab1_nota_metodologia_de_la_invest_y_tec,aab1_nota_computacion_y_sociedad,aab1_nota_fundamentos_de_tecnologias,aab1_nota_algoritmos_y_resolucion_de_pro,"aab1_nota_humanismo,_universidad_y_cultu",aab1_nota_fundamentos_matematicos,aab2_nota_metodologia_de_la_invest_y_tec,aab2_nota_computacion_y_sociedad,aab2_nota_fundamentos_de_tecnologias,aab2_nota_algoritmos_y_resolucion_de_pro,"aab2_nota_humanismo,_universidad_y_cultu",aab2_nota_fundamentos_matematicos,acdb1_nota_metodologia_de_la_invest_y_tec,acdb1_nota_computacion_y_sociedad,acdb1_nota_fundamentos_de_tecnologias,acdb1_nota_algoritmos_y_resolucion_de_pro,"acdb1_nota_humanismo,_universidad_y_cultu",acdb1_nota_fundamentos_matematicos,acdb2_nota_computacion_y_sociedad,acdb2_nota_fundamentos_de_tecnologias,acdb2_nota_algoritmos_y_resolucion_de_pro,"acdb2_nota_humanismo,_universidad_y_cultu",acdb2_nota_fundamentos_matematicos,apeb1_nota_metodologia_de_la_invest_y_tec,apeb1_nota_computacion_y_sociedad,apeb1_nota_fundamentos_de_tecnologias,apeb1_nota_algoritmos_y_resolucion_de_pro,"apeb1_nota_humanismo,_universidad_y_cultu",apeb1_nota_fundamentos_matematicos,apeb2_nota_computacion_y_sociedad,apeb2_nota_algoritmos_y_resolucion_de_pro,cluster,Componente_1,Componente_2
1,NUEVO,CURSOS INSCRITOS,0,0,0.0,39,HOMBRE,NO,0,0,6.59,7.49,8.91,9.54,7.96,8.77,5.01,5.53,6.03,8.23,7.49,6.59,2.46,3.14,2.9,3.04,3.16,2.69,1.58,3.21,2.83,2.93,2.99,3.12,3.0,1.35,3.06,3.5,2.0,3.15,1.35,1.7,2.5,3.5,0.91,1.13,3.0,2.95,3.0,2.8,2.93,0.97,2.8,Bueno,-1.167487384573498,-0.0897310001106724
2,CONTINUO,CURSOS CADUCADOS,10,30,191.73,21,HOMBRE,NO,0,0,6.32,9.26,7.68,6.75,8.61,7.88,3.64,5.7,5.05,3.56,4.38,5.68,2.49,3.38,2.73,2.75,2.51,2.72,1.94,3.0,3.07,2.56,2.88,2.18,3.15,2.95,1.96,1.0,3.1,2.16,0.0,1.96,0.0,1.5,0.5,0.68,2.93,2.99,3.0,3.0,3.0,2.7,1.0,Bueno,-0.6675726859468107,0.6519648238673166
1,NUEVO,CURSOS INSCRITOS,0,5,213.02,39,HOMBRE,NO,0,0,1.28,7.01,5.02,3.13,6.24,3.21,3.96,5.53,5.75,3.53,4.9,7.46,1.28,2.96,1.9,2.13,2.19,2.21,2.31,3.13,2.9,2.53,2.7,2.36,0.0,1.2,1.16,0.0,1.05,1.0,0.0,0.0,0.0,1.2,2.18,0.0,2.85,1.96,1.0,3.0,-1.0,2.4,1.0,Regular,0.36414084716070294,0.10702125524863482
2,CONTINUO,CURSOS INSCRITOS,10,100,60.58,21,HOMBRE,NO,0,0,1.13,7.97,-1.0,-1.0,4.5,8.55,1.69,9.31,-1.0,-1.0,3.0,6.78,1.13,3.04,2.63,2.65,1.5,2.59,1.69,3.25,1.0,1.0,2.0,2.13,-1.0,2.0,-1.0,-1.0,0.0,3.0,3.4,-1.0,-1.0,0.0,1.73,-1.0,2.93,2.0,3.38,3.0,2.96,2.66,-1.0,Incierto,0.84347180043498,0.9696378724827517
3,CONTINUO,CURSOS INSCRITOS,0,100,137.46,30,MUJER,NO,0,0,7.06,9.32,7.42,7.87,-1.0,-1.0,5.23,7.94,7.19,4.67,-1.0,-1.0,2.61,3.19,2.77,2.27,-1.0,2.12,1.88,2.94,2.5,2.67,-1.0,0.75,2.8,3.2,1.66,3.0,-1.0,-1.0,3.5,3.19,1.0,-1.0,-1.0,1.65,2.93,2.99,2.6,-1.0,3.35,1.5,1.0,Incierto,0.3515904933425685,0.2545389495022235
2,CONTINUO,CURSOS INSCRITOS,10,100,28.34,20,HOMBRE,NO,0,0,-1.0,8.64,8.39,-1.0,-1.0,6.73,-1.0,6.8,6.95,-1.0,-1.0,5.42,1.88,2.69,2.43,3.0,2.76,1.82,0.95,2.63,2.4,1.0,1.0,2.61,-1.0,3.1,3.01,-1.0,-1.0,1.91,1.28,3.05,-1.0,-1.0,0.33,3.1,2.85,2.95,0.0,0.0,3.0,2.89,-1.0,Incierto,0.8159075518193193,0.5710668362212556
2,CONTINUO,CURSOS CADUCADOS,10,0,60.55,26,HOMBRE,NO,0,0,5.83,8.16,-1.0,-1.0,9.18,-1.0,6.68,5.89,-1.0,-1.0,7.5,-1.0,2.29,3.13,-1.0,-1.0,3.08,-1.0,0.7,1.0,-1.0,-1.0,1.0,-1.0,2.38,2.48,-1.0,-1.0,3.2,-1.0,3.15,-1.0,-1.0,3.5,-1.0,1.16,2.55,-1.0,-1.0,2.9,-1.0,1.74,-1.0,Incierto,1.4001372826159597,0.369974701074537
2,CONTINUO,CURSOS CADUCADOS,10,20,115.99,23,MUJER,NO,0,0,-1.0,-1.0,5.52,-1.0,7.49,7.51,-1.0,-1.0,8.78,-1.0,7.01,7.33,1.7,2.13,1.8,1.91,2.29,1.31,0.9,1.0,2.67,0.95,2.31,2.01,-1.0,-1.0,1.22,-1.0,2.9,3.5,-1.0,3.26,-1.0,2.7,2.72,3.3,3.5,2.5,3.13,2.3,2.7,-1.0,-1.0,Regular,0.7770001039993675,0.7852484565528709
1,NUEVO,CURSOS INSCRITOS,70,0,0.0,39,HOMBRE,NO,0,0,2.06,-1.0,1.6,1.96,-1.0,6.74,0.0,-1.0,0.0,0.0,-1.0,0.0,1.0,-1.0,1.6,0.96,-1.0,2.39,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.53,-1.0,0.0,0.0,-1.0,1.39,-1.0,0.0,0.0,-1.0,0.0,0.53,-1.0,-1.0,1.0,-1.0,2.96,-1.0,0.0,Critico,2.6358122346914574,-0.9910294001474049
1,NUEVO,CURSOS INSCRITOS,0,5,213.02,39,HOMBRE,NO,0,0,0.0,0.4,0.0,0.0,0.3,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,-1.0,0.0,0.3,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,Critico,2.776731844743831,-1.1889344436043503
1,NUEVO,CURSOS INSCRITOS,10,5,189.4,39,HOMBRE,NO,0,0,5.68,3.78,5.85,2.69,5.25,5.34,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.85,0.87,0.79,0.75,0.84,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,2.95,0.9,2.0,0.0,3.5,1.84,0.0,0.0,0.0,0.0,0.0,2.03,2.03,2.98,1.9,1.0,2.66,-1.0,0.0,Regular,1.636042804982271,-0.5991610380934891
4,CONTINUO,CURSOS INSCRITOS,10,20,74.29,33,HOMBRE,NO,0,0,8.03,6.97,5.87,8.41,6.51,8.21,6.11,8.88,8.76,6.95,9.0,8.36,2.13,2.75,2.27,2.81,2.91,2.81,-1.0,3.13,2.5,2.95,2.7,3.16,3.35,2.49,1.6,3.0,1.4,2.44,3.05,3.41,1.0,3.5,2.35,2.55,1.73,2.0,2.6,2.2,2.96,2.7,3.0,Bueno,-1.3531807454733726,0.16771092790096748
1,CONTINUO,CURSOS CADUCADOS,60,5,0.0,23,HOMBRE,NO,0,0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,Critico,3.0509132080055315,-0.8990551033765544
1,NUEVO,CURSOS INSCRITOS,10,5,194.05,39,HOMBRE,NO,0,0,0.0,2.0,0.23,0.0,0.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.23,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0,0.0,0.0,0.0,1.5,-1.0,0.0,0.0,0.15,-1.0,0.0,Critico,2.650214294979509,-1.0496340137105036
1,CONTINUO,CURSOS CADUCADOS,10,5,167.82,22,HOMBRE,NO,0,0,1.76,3.66,0.0,0.0,-1.0,0.65,0.0,0.0,0.0,0.0,-1.0,0.0,0.1,0.5,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.53,1.28,0.0,0.0,-1.0,0.65,0.0,0.0,0.0,-1.0,0.0,1.13,1.88,-1.0,0.0,-1.0,-1.0,-1.0,0.0,Critico,2.6336461810085043,-0.7196848117207416
1,NUEVO,CURSOS INSCRITOS,10,5,191.73,39,HOMBRE,NO,0,0,0.0,2.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.33,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,-1.0,0.0,0.0,-1.0,-1.0,0.0,Critico,2.6793489128855934,-1.096319602159146
1,NUEVO,CURSOS INSCRITOS,60,0,0.0,39,HOMBRE,NO,0,0,6.75,7.03,8.93,3.08,8.48,8.98,0.9,1.93,0.67,0.6,0.5,2.06,1.97,1.13,2.62,2.08,2.15,3.14,-1.0,0.5,0.67,0.6,0.5,0.25,2.9,3.05,3.33,0.0,3.33,2.84,0.0,0.0,0.0,0.0,0.5,1.88,2.85,2.98,1.0,3.0,3.0,1.43,0.0,Regular,0.6157447199155023,-0.19674421562986646
1,NUEVO,CURSOS INSCRITOS,0,0,0.0,39,HOMBRE,NO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,Critico,2.8604666634230855,-1.284685750476374
6,CONTINUO,CURSOS INSCRITOS,18,20,80.87,30,HOMBRE,NO,0,0,7.43,9.59,9.01,9.79,9.48,8.53,8.76,9.21,9.34,9.58,9.58,8.83,2.85,3.31,2.83,3.29,2.98,2.67,2.26,3.19,2.97,3.08,3.08,2.65,2.55,3.35,3.23,3.5,3.5,3.04,3.06,3.37,3.5,3.5,3.18,2.03,2.93,2.95,3.0,3.0,2.82,2.96,3.0,Bueno,-2.155815480938677,0.2806985198463947
3,CONTINUO,CURSOS INSCRITOS,10,20,185.5,31,HOMBRE,NO,0,0,7.84,8.58,8.31,5.83,9.5,8.35,6.79,8.93,9.26,8.5,8.14,8.83,2.06,3.25,2.7,2.83,3.0,2.87,2.16,2.94,3.0,2.5,2.44,2.83,3.15,2.55,2.63,2.0,3.5,3.11,3.21,3.26,3.0,3.3,3.0,2.63,2.78,2.98,1.0,3.0,2.37,2.78,3.0,Bueno,-1.7590988829220133,0.20699783917288425
2,CONTINUO,CURSOS INSCRITOS,0,30,161.92,32,HOMBRE,NO,0,0,5.43,9.04,8.53,8.36,-1.0,7.85,1.14,5.19,7.15,7.97,-1.0,6.07,2.28,3.16,2.53,2.96,2.73,2.99,1.14,3.13,3.1,2.77,-1.0,2.7,2.1,2.88,3.3,2.5,-1.0,2.06,1.35,1.5,2.5,-1.0,0.7,1.05,3.0,2.7,2.9,0.0,2.8,0.71,2.7,Incierto,-0.12510454867619442,0.029114371556186472
3,CONTINUO,CURSOS CADUCADOS,10,20,111.53,29,HOMBRE,NO,0,0,8.79,9.48,8.79,8.85,8.96,8.2,8.44,8.78,7.79,8.02,7.48,7.34,2.78,3.13,2.33,2.55,2.96,3.3,2.09,3.31,3.07,2.92,2.78,2.6,3.35,3.5,3.47,3.5,3.0,2.09,3.21,3.22,2.5,1.7,2.49,2.66,2.85,2.99,2.8,3.0,2.81,2.26,2.6,Bueno,-1.7746508718995682,0.31194206508186434
6,CONTINUO,CURSOS INSCRITOS,10,20,208.76,28,HOMBRE,NO,0,0,7.66,9.11,9.46,9.5,8.91,9.11,9.28,9.64,9.04,7.28,8.23,7.94,2.18,3.38,3.1,3.0,2.96,3.13,2.78,3.25,2.77,2.78,3.13,2.16,3.3,2.8,3.36,3.5,3.15,3.18,3.5,3.42,3.5,2.3,2.93,2.18,2.93,3.0,3.0,2.8,2.8,2.89,1.0,Bueno,-1.9493367384597202,0.349652095121835
4,CONTINUO,CURSOS INSCRITOS,10,100,87.9,29,HOMBRE,NO,0,0,6.15,8.82,8.2,9.08,7.51,7.91,9.0,8.61,8.92,7.55,8.91,7.35,1.63,2.69,2.46,2.68,2.41,1.86,2.5,3.06,2.77,2.05,2.61,1.86,3.13,3.28,2.77,3.5,2.9,3.05,3.21,3.15,2.5,3.5,2.49,1.39,2.85,2.97,2.9,2.2,3.0,2.34,3.0,Bueno,-1.6677555161986661,0.05948642686135739
2,CONTINUO,CURSOS INSCRITOS,30,20,78.53,25,HOMBRE,NO,0,0,7.68,9.37,9.52,9.65,9.69,9.23,9.02,6.82,7.22,7.5,9.46,8.49,2.58,3.09,3.13,3.15,3.19,3.2,2.59,0.9,0.97,1.0,3.31,2.81,2.77,3.35,3.41,3.5,3.5,3.07,2.99,3.4,3.5,3.35,2.68,2.33,2.93,2.98,3.0,3.0,2.96,2.93,3.0,Bueno,-1.865059622549167,0.12191683885649346
4,CONTINUO,CURSOS INSCRITOS,0,100,83.98,36,HOMBRE,NO,0,0,7.2,7.44,8.69,9.37,8.31,7.57,8.64,8.33,8.47,6.4,8.68,8.54,2.39,3.09,2.86,2.87,3.01,2.07,2.14,3.26,2.57,2.75,2.73,2.49,2.9,1.35,2.85,3.5,2.7,2.68,2.91,3.2,2.25,3.35,3.05,1.91,3.0,2.98,3.0,2.6,2.82,2.16,1.4,Bueno,-1.569531052409715,0.31740977290974753
6,CONTINUO,CURSOS INSCRITOS,100,20,0.0,27,HOMBRE,NO,0,0,5.7,7.98,8.47,9.21,9.43,8.83,8.75,9.04,8.97,8.42,7.5,7.96,1.88,3.13,2.97,2.71,3.13,2.56,2.25,3.13,2.5,2.42,1.0,2.18,1.98,1.85,3.3,3.5,3.3,3.3,3.21,3.47,3.0,3.5,2.78,1.84,3.0,2.2,3.0,3.0,2.97,2.7,3.0,Bueno,-1.7420963971950185,0.1627295595283909
5,CONTINUO,CURSOS INSCRITOS,100,20,80.77,22,HOMBRE,NO,0,0,7.54,9.26,9.05,-1.0,-1.0,-1.0,8.84,9.39,9.34,-1.0,-1.0,-1.0,2.28,3.06,2.9,-1.0,-1.0,-1.0,2.34,3.19,3.0,-1.0,-1.0,-1.0,3.2,3.35,3.17,-1.0,-1.0,-1.0,3.35,3.41,-1.0,-1.0,-1.0,2.06,2.85,2.98,-1.0,-1.0,-1.0,2.85,-1.0,Incierto,0.9466206125435501,-0.01300681609802938
6,CONTINUO,CURSOS INSCRITOS,10,20,123.67,21,HOMBRE,NO,0,0,6.4,8.6,8.28,9.83,9.47,8.84,8.69,9.01,9.26,9.08,9.75,8.66,1.92,3.0,2.3,3.33,3.19,2.48,2.19,2.81,2.9,2.58,3.25,2.75,2.83,2.75,3.17,3.5,3.28,3.36,3.5,3.43,3.5,3.5,2.91,1.65,2.85,2.81,3.0,3.0,3.0,2.7,3.0,Bueno,-2.031458504789285,0.20809603125868326
6,NUEVO,CURSOS INSCRITOS,8,20,213.4,48,HOMBRE,NO,0,0,8.09,8.96,9.09,9.29,9.15,9.18,9.04,8.72,9.4,9.78,9.44,9.03,2.25,3.08,2.6,3.29,2.65,3.09,2.54,3.06,2.93,3.28,2.94,2.98,3.4,2.88,3.5,3.0,3.5,3.12,3.21,3.47,3.5,3.5,3.05,2.44,3.0,2.99,3.0,3.0,2.97,2.45,3.0,Bueno,-2.083179374415624,-0.09240740467934408
6,CONTINUO,CURSOS INSCRITOS,20,20,119.54,31,HOMBRE,NO,0,0,7.47,9.47,8.66,9.35,8.86,8.27,8.78,9.08,9.15,8.37,6.76,7.86,2.43,3.19,2.66,2.85,2.36,2.64,2.28,2.81,2.9,2.37,2.81,2.53,2.79,3.35,3.15,3.5,3.5,2.82,3.5,3.25,3.0,2.95,2.33,2.25,2.93,2.85,3.0,3.0,2.81,2.77,3.0,Bueno,-1.8886132568170007,0.23535266483445702
2,CONTINUO,CURSOS CADUCADOS,0,30,210.44,25,HOMBRE,NO,0,0,7.36,9.23,8.02,8.85,9.31,8.17,7.5,7.15,7.4,7.23,6.7,6.84,2.47,3.33,2.36,2.35,3.01,2.38,1.0,1.0,1.0,0.98,1.0,0.86,2.75,2.9,2.71,3.5,3.5,2.82,3.3,3.4,3.25,3.3,3.14,2.14,3.0,2.95,3.0,2.8,2.97,2.85,3.0,Bueno,-1.454354721634078,-0.07792778287770497
3,CONTINUO,CURSOS INSCRITOS,10,20,94.25,31,HOMBRE,NO,0,0,5.98,7.84,7.38,8.6,9.0,8.36,8.59,8.86,7.39,6.68,9.06,8.7,2.22,3.04,2.1,2.42,2.5,2.2,2.16,2.81,2.6,2.08,2.56,2.83,2.45,2.4,2.3,3.38,3.5,3.16,3.2,3.29,3.5,3.5,2.87,1.31,2.4,2.98,2.8,3.0,3.0,2.85,1.1,Bueno,-1.6205344699404314,0.13496293629227293
4,CONTINUO,CURSOS INSCRITOS,10,20,103.43,33,HOMBRE,NO,0,0,6.81,9.45,8.46,9.1,8.18,9.0,9.27,9.6,8.86,9.23,8.41,8.72,2.49,3.2,2.26,3.0,2.48,3.16,2.81,3.44,2.57,3.33,2.76,3.2,2.63,3.25,3.3,3.5,2.9,3.2,3.35,3.44,3.3,2.65,2.98,1.69,3.0,2.9,2.6,2.8,2.64,2.81,2.6,Bueno,-1.9875157017889062,0.16641229121413548
6,CONTINUO,CURSOS INSCRITOS,70,20,119.54,35,HOMBRE,NO,0,0,6.71,8.63,9.06,9.17,9.16,8.0,8.63,8.49,9.45,9.67,7.79,8.4,2.47,2.75,2.85,2.77,2.88,2.4,2.17,3.03,3.3,3.42,2.74,3.0,2.66,2.95,3.23,3.5,3.28,2.9,3.21,3.45,3.25,3.05,2.76,1.58,2.93,2.98,2.9,3.0,2.7,2.25,3.0,Bueno,-1.932799872510225,0.21239459948968323
6,CONTINUO,CURSOS INSCRITOS,60,20,150.35,27,HOMBRE,NO,0,0,8.7,9.43,9.57,9.23,8.71,8.41,9.25,9.73,9.16,9.37,9.64,8.99,2.72,3.33,3.07,2.93,2.21,2.73,2.75,3.38,2.73,2.87,3.14,2.92,3.2,3.1,3.5,3.5,3.5,3.04,3.5,3.43,3.5,3.5,3.07,2.78,3.0,3.0,2.8,3.0,2.64,2.85,3.0,Bueno,-2.2183516424552114,0.297792730014952
6,CONTINUO,CURSOS INSCRITOS,20,20,191.3,23,HOMBRE,NO,0,0,6.44,8.38,9.03,8.71,8.58,9.25,8.91,9.25,9.44,9.08,9.31,9.23,2.25,2.83,2.76,2.21,3.38,2.95,2.41,3.19,3.3,2.58,2.81,3.11,2.35,2.55,3.29,3.5,2.6,3.3,3.21,3.29,3.5,3.5,3.12,1.84,3.0,2.98,3.0,2.6,3.0,2.85,3.0,Bueno,-2.009093361512397,0.2478465456022195
